,"('Dates',)","('XAU Curncy',)","('XAG Curncy',)","('CL1 Comdty',)","('HG1 Comdty',)","('SPX Index',)","('CCMP Index',)","('JPY Curncy',)","('CAD Curncy',)","('CNY Curncy',)","('EUR Curncy',)","('HKD Curncy',)","('HSI Index',)","('MXCN Index',)","('MXEF Index',)","('SPTSX Index',)","('AAPL US Equity',)","('MSFT US Equity',)","('5 HK Equity',)","('TD CN Equity',)","('TD CN Equity.1',)","('TD CT Equity',)","('RBC LN Equity',)","('BNS CN Equity',)"
0,12/24/2010,1380.0,29.3125,91.51000213623047,425.20001220703125,1256.77001953125,2665.60009765625,82.91000366210938,1.0092999935150146,6.644599914550781,1.311400055885315,7.776599884033203,22902.970703125,66.16999816894531,1127.780029296875,13371.2001953125,46.228599548339844,28.299999237060547,79.94999694824219,36.90999984741211,36.90999984741211,36.90999984741211,32.875,57.11000061035156
1,12/27/2010,1361.3723630458117,29.543738170468714,91.02309852905611,429.6164287773336,1266.436797681314,2663.7339262979012,82.68989414920415,1.0022640859513459,6.628819615276017,1.3168658358446326,7.81649690461184,22795.96932090412,66.45266333204815,1138.445942437747,13591.329496425138,45.412231955415194,28.127971489429182,80.83229080600537,36.71484344460655,36.23915804443676,36.62633907072166,32.554627554956824,55.80078221223894
2,12/28/2010,1368.4489414114491,29.846331554312272,90.17794056811103,429.2399349541084,1272.0530615666025,2661.411209377019,82.78440688616162,0.9863934579712696,6.643345119530446,1.3676346939369424,7.758776951412285,22655.266431625038,67.13690879517573,1143.876378884775,13651.52258295777,45.455900809126575,28.536704663682894,80.8750848993415,36.78284141249238,36.476575477557084,36.82161234512866,32.224797595655666,55.47400875838068
3,12/29/2010,1369.092138817971,29.821633730151905,89.83718008036223,429.0194276985269,1272.677450382406,2661.5749689364784,82.76993481240623,0.9865008497356339,6.643887852138946,1.365667330240066,7.782278241745227,22659.488351134754,67.11722926398791,1143.8848995870303,13615.668440521002,45.39110443198468,28.5296603336338,80.91229848548566,36.81839628603985,36.49963114611717,36.87238410688815,32.32567551542375,55.338062600726126
4,12/30/2010,1367.1183825465314,29.590577299335006,91.54776747766307,424.7994374126907,1270.6035139382282,2665.6239279698852,82.87321887201321,0.9862990105124811,6.629096234646022,1.3624125895236372,7.781346031242916,22545.350526024762,66.81514573832106,1145.262225261884,13571.989503240868,45.256269229974954,28.406440038173415,81.18212755126494,36.97089883320291,36.311615431959495,36.90332857013799,32.71986853679197,55.54850874806773
5,12/31/2010,1366.7084346145064,29.74379924691814,91.26827152871232,423.80517909352864,1270.2794541767526,2667.1889995335423,82.86231344035825,0.9867815587387275,6.630860278754133,1.3666704439202613,7.751689773145121,22544.674232125908,66.90855129312894,1146.1480242088796,13582.701852635873,44.95810308428519,28.4555125568404,81.1953806061499,37.25473692289125,36.40392059096051,36.84024829374689,33.06865816538575,55.822095320169595
6,1/3/2011,1374.908162153595,29.42829750305018,92.09871678353186,422.01484365196507,1266.469469935928,2679.0528943379954,82.89364729830058,0.9806112137672446,6.639046463854988,1.3621819349858182,7.802063275499509,22564.84390239709,66.82262469883901,1144.9942335730238,13631.630981784714,45.0852310597988,28.527181421494593,81.36563145024212,37.30721424949228,36.44664776986934,36.691912610692505,32.96363927620812,56.09495057494114
7,1/4/2011,1342.9542515778976,29.74378476620561,92.99051851509681,421.9589468628736,1254.723614815212,2686.0568620814547,82.5440611466052,0.9811614087711863,6.675837071757163,1.378507141537675,7.6757435122752575,22594.3710240453,66.67559609968895,1141.8743487235379,13523.779082951129,44.72254817148184,28.600977816579018,81.98173681654346,36.86722818547657,36.39707358704902,37.30101072078288,32.911840502096005,56.231199455873494
8,1/5/2011,1342.6582273822223,29.749691890049405,93.11145791383554,421.8791492009291,1255.7407486291918,2686.941119437138,82.5472598701444,0.9799724551648445,6.675511042040317,1.3777371194784405,7.679319608985355,22605.403096404687,66.7272958191286,1142.3801722378337,13524.48875623889,44.764309691684794,28.6120223746941,81.99636583518604,36.95378839246538,36.37446844671358,37.23963056310661,32.85699718045401,56.41681999321169
9,1/6/2011,1350.046670837317,29.569240216903367,92.98283266890908,422.3478740107924,1268.3295767834334,2655.6254862275714,82.70775842151365,0.9775115809345898,6.698455425355605,1.3716274975404033,7.798955937465678,22671.067823950852,66.10837680997429,1140.3233272749462,13690.145047207963,44.715772668273395,28.809472639996404,82.60216242426132,36.82449211649427,35.98760833530063,37.72676845490957,32.59599952605556,55.78484181849852
10,1/7/2011,1345.7976332957055,29.678436507284882,92.72395389177395,421.7099476968316,1262.2305689812022,2680.2040134328618,84.00471668699274,0.9699128687770969,6.840382013394694,1.4073293521529497,7.7880559219769525,23032.47984910278,66.30428694394577,1152.4914923502733,13632.396267089955,44.72787758038484,28.532708828918896,81.82398766321751,37.07690219104723,35.8798541552838,38.43416204591275,32.59810797700975,56.53593101113283
11,1/10/2011,1344.866719418944,29.636116306605345,92.80841876529992,422.9901091949022,1260.8592135008128,2694.0398124042326,83.71280460637335,0.964308549861008,6.929374872911077,1.4159290931967567,7.749704062088776,23203.077969703947,67.09458065825694,1161.1728418974556,13566.167861416154,44.75664760863434,28.52143430226229,81.36634194871887,36.934778479861386,35.91116001125407,38.32052638814171,32.63315919063461,57.51330266955329
