,"('Dates',)","('XAU Curncy',)","('XAG Curncy',)","('CL1 Comdty',)","('HG1 Comdty',)","('SPX Index',)","('CCMP Index',)","('JPY Curncy',)","('CAD Curncy',)","('CNY Curncy',)","('EUR Curncy',)","('HKD Curncy',)","('HSI Index',)","('MXCN Index',)","('MXEF Index',)","('SPTSX Index',)","('AAPL US Equity',)","('MSFT US Equity',)","('5 HK Equity',)","('TD CN Equity',)","('TD CN Equity.1',)","('TD CT Equity',)","('RBC LN Equity',)","('BNS CN Equity',)"
0,12/24/2010,1380.0,29.3125,91.51000213623047,425.20001220703125,1256.77001953125,2665.60009765625,82.91000366210938,1.0092999935150146,6.644599914550781,1.311400055885315,7.776599884033203,22902.970703125,66.16999816894531,1127.780029296875,13371.2001953125,46.228599548339844,28.299999237060547,79.94999694824219,36.90999984741211,36.90999984741211,36.90999984741211,32.875,57.11000061035156
1,12/27/2010,1380.3793428390054,29.235537291999208,91.56152859887311,426.02691318405795,1251.286634879424,2664.5017681051927,83.21675112081046,1.009288824295308,6.638111140657482,1.3051946321132175,7.753077255624014,22485.09003878385,66.11478482802971,1131.4628793487243,13369.599366769235,46.117370430575555,28.2001531539394,79.25275142004438,36.70433375130215,37.154403399340914,36.93168921362722,32.845909634379495,56.776100400428625
2,12/28/2010,1380.240163264333,29.168517753317744,91.57925736282269,426.2521874415991,1255.176669634397,2662.069123986487,83.03966353786504,1.0094742503054666,6.636195227708354,1.3095549346438693,7.762725983194324,22445.931048004295,66.13218472094137,1135.9649077445958,13299.443505024818,46.127238582797126,28.229750326424544,79.77368787353923,36.88828245426243,37.01147753925082,37.032784570983694,32.99422075979815,56.72889964635577
3,12/29/2010,1376.5350807017476,29.25244590231488,91.6996338186842,429.3801778354483,1252.0326920313025,2665.5669436510752,83.4398161433863,1.006632259686501,6.617374695676043,1.3135503683880885,7.755749052218927,22199.54195841115,66.12105953117013,1143.1167195510666,13177.912853222544,47.044198963489706,28.237238011688245,78.80552161675759,36.05130498332704,37.041574329997495,37.69741855988366,32.33127090787224,57.21888077641711
4,12/30/2010,1370.3440466834966,29.42863726601588,92.33918993836797,427.8025268759975,1247.560492234141,2667.424990306192,83.41661807325877,1.0066759542203116,6.613325881530726,1.3355130317210093,7.637667240342312,22310.63833684746,66.00649420130802,1139.9139562507426,13045.58084631662,46.94305225642358,28.291978142084588,79.7805682744086,36.42790439935634,37.09902356705462,37.539397958251136,32.33166414715315,56.92633204003201
5,12/31/2010,1351.5144916833542,29.241543968596915,92.53116773643909,426.4939341236145,1250.0591530083482,2682.9023737001307,83.80319238641128,1.013520544046558,6.470971989468923,1.3389814473526678,7.671962604826902,22350.59647491134,67.26707987400297,1140.4662920956182,12974.2644289237,47.037958485582344,28.21083650639514,79.30608868771401,35.950498175084924,36.832153375672924,37.5334895567172,32.08297279891964,57.78050152242355
6,1/3/2011,1353.4522717293976,29.3221429988916,92.74549710401158,425.78915001344467,1233.5649186213695,2695.043859325113,83.37028006120744,1.0182188754777362,6.5327155906469985,1.3389037346996608,7.67959058987818,22460.20398934449,67.05516913578387,1139.9661836618354,12910.0993848341,46.908788650546626,28.210112296286866,79.23101476597942,35.47502523531214,36.86415150111217,37.41469815517657,31.866685243772444,58.012730888700744
7,1/4/2011,1353.165393932487,29.320244158915262,92.82259050144037,425.8419107777911,1233.1997843229888,2695.454401674577,83.32531463280262,1.0187191717673811,6.530539185426332,1.3394813452863432,7.668678371789161,22423.055797209207,67.05102355645778,1140.658351184401,12910.428499086644,46.91903436023669,28.183624513432704,79.01252205874495,35.41996813444187,36.80482964734242,37.401400812488625,31.85869937309375,58.08312050648009
8,1/5/2011,1344.3535572677615,29.504707063262504,92.51234072210272,426.203475423221,1225.8765127629067,2685.688682210119,83.25625742309597,1.0192679369565876,6.540760034513911,1.3464900840040315,7.659651957046556,22583.17381908737,66.29621580373588,1134.2700925857403,12771.054315242785,45.42978844357542,28.16952231776407,79.34090659810914,35.52731882640408,36.266048187137606,37.64127998462403,31.881041611447756,59.16710416516503
9,1/6/2011,1350.7235548235788,29.740634570075212,92.97108919781651,427.11609445892424,1206.3891623076795,2691.4935001421672,83.40767252498397,1.0143785371692438,6.562273304791955,1.3620851424329201,7.704385278580206,22416.1244370418,65.72597910959144,1140.3614677879407,12620.22668823083,45.52789677028292,27.88387984848549,79.59762694593508,35.96031637982962,35.723300275716895,38.00595575873582,31.713618623944438,58.34912653878131
